song_name,artist,play_count
ローリンガール,wowaka,2
幻の命,SEKAI NO OWAR,2
Diver,NICO Touches the Walls,2
夢をかなえてドラえもん,mao,2
daze,じん,2
God knows…,涼宮ハルヒ(CV.平野綾),2
くせのうた,星野源,2
風を食む,ヨルシカ,2
真赤,My Hair is Bad,2
ワールズエンドダンスホール,wowaka,2
ハイゲイン,ヒトリエ,2
脳漿炸裂ガール,れるりり,2
六兆年と一夜物語,kemu,2
花に嵐,米津玄師,2
スーパースターになったら,Back number,2
弦切れた,,2
眠り姫,SEKAI NO OWARI,2
相思相愛,Aiko,2
Subtitle,Official髭男dism,2
純情スカート,40mP,2
サブリナ,家入レオ,2
アボカド,Yonige,2
ココロジェリーフィッシュ,ヒグチアイ,2
栄光の架橋,ゆず,2
ポニーテールとシュシュ,AKB48,2
君がくれた夏,家入レオ,2
真夏の果実,サザンオールスターズ,2
secret base 〜君がくれたもの〜,ZONE,2
赤い糸,コブクロ,2
憂、燦々,クリープハイプ,2
昼鳶,ヨルシカ,2
オッドアイ,さユり,2
ANIMA,ReoNa,2
(Himawari no Yakusoku,Motohiro Hata),2
(Hana ni Bourei,Yorushika),2
粉雪,レミオロメン,2
夜空ノムコウ,SMAP,2
心の残響,ミナミイズミ,2
ヘビーローテーション,AKB48 (初披露),2
開始,,2
Wherever you are／ONE OK ROCK,,2
さくらんぼ／大塚愛,,2
やさしさに包まれたなら,松任谷由実 (初披露),2
幸せ／back number,,2
BABY STEP／LAMP IN TERREN,,2
花に亡霊／ヨルシカ,,2
夜明けと蛍／n-buna,,2
天ノ弱／164,,2
からくりピエロ／40mP,,2
トリノコシティ／40mP,,2
シリョクケンサ／40mP,,2
ロミオとシンデレラ／doriko,,2
ミカヅキ／さユり,,2
炎／LiSA,,2
マリーゴールド／あいみょん,,2
君はロックを聴かない／あいみょん,,2
鱗／秦基博,,2
桜／コブクロ,,2
気まぐれロマンティック／いきものがかり,,2
ドーナツホール／ハチ,,2
ココロのちず／BOYSTYLE,,2
ウィーアー！／きただにひろし,,2
シュガーソングとビターステップ／UNISON SQUARE GARDEN,,2
オリオンをなぞる／UNISON SQUARE GARDEN,,2
恋／星野源,,2
Break through／ミナミイズミ,,2
アイネクライネ／米津玄師,,2
へび／ヨルシカ,,2
サマータイムレコード／じん,,2
タッチ／岩崎良美,,2
怪獣／サカナクション,,2
めざせポケモンマスター／松本梨香,,2
晴る／ヨルシカ,,2
Strawberry,,1
en.01 you were here,,1
en.02 ガラスのブルース,,1
en.03 花の名,,1
ナイトメア,amazarashi,1
黎明期,amazarashi,1
痛覚,amazarashi,1
アダプテット,amazarashi,1
アンチノミー,amazarashi,1
配信が止まるトラブル発生,,1
少し巻き戻して再開,,1
多数決,amazarashi,1
美しき思い出,amazarashi,1
アンアライブ,amazarashi,1
1.0,amazarashi,1
クライマー,,1
サークルゲーム,,1
恋の寿命,,1
明日へ,,1
ハローグッバイ,,1
四ツ葉さがしの旅人,,1
僕から君へ,,1
乗車権のイントロのライブアレンジ,,1
今後どんな「BUMP OF CHICKEN」縛りがいいと思う？,,1
ライブハウスは行けましたか？,,1
思い出した。この日チャマさんが投げたペットボトルの水か掛かった,,1
藤原さんの誕生日と「はじめてのチュウ」を歌ってくれた話,,1
"STADIUM TOUR 2016 ""BFLY"" のセトリ",,1
デッドウェイト,,1
rapport,,1
ちはる,,1
デマゴーグ,,1
白無垢,,1
波に名前を付けること、僕らの呼吸に終わりがあること。,,1
ずうっといっしょ！,,1
人間みたいね,,1
ナイトルーティーン,,1
芥の部屋は錆色に沈む,,1
EX. shorts動画公開録音,,1
夕凪、某、花惑い,,1
詩書きとコーヒー,,1
春ひさぎ,,1
五月は花緑青の窓辺から,,1
ブレーメン,,1
花二亡霊,,1
DADA,,1
五月の蝿,,1
会心の一撃,,1
魔法鏡,,1
最大公約数,,1
supernova,,1
ハンマーソングと痛みの塔,,1
時空かくれんぼ,,1
flyby,,1
オンリー ロンリー グローリー,,1
乗車権,,1
睡眠時間,,1
Title of mine,,1
キャッチボール,,1
メロディーフラッグ,,1
ベル,,1
バイバイサンキュー,,1
Opening,,1
続くだらない唄,,1
LAMP,,1
くだらない唄,,1
リトルブレイバー,,1
ノーヒットノーラン,,1
とっておきの唄,,1
バトルクライ,,1
BUMP OF CHICKENのテーマ,,1
ジャングルジム,,1
リボン,,1
流星群,,1
コロニー,,1
大我慢大会,,1
Smile,,1
ほんとのほんと,,1
ディアマン,,1
ウェザーリポート,,1
モーターサイクル,,1
透明飛行船,,1
66号線,,1
angel fall,,1
イノセント,,1
beautiful glider,,1
good friends,,1
キャラバン,,1
さよならごっこ,Sayonara Gokko (初披露),1
爆弾の作り方,Bakudan no Tsukurikata (初披露),1
オープニング、明日22時から5万人耐久弾き語り、昼の弦交換配信で出た話題(ASMR)、今寒い、みんなか自分が眠くなるまで睡眠導入、 (あくび),,1
#1 たばこ,コレサワ,1
#2 丸の内サディスティック,椎名林檎,1
#3 はなびら,back number,1
#4 真赤,My Hair is Bad,1
#5 この夜を止めてよ,JUJU,1
#6 bathroom,ユアネス,1
take1,,1
#7 HANABI,いきものがかり (take2),1
#8 気まぐれロマンティック,いきものがかり,1
#9 ブルーバード,いきものがかり,1
#11 ナモナキヒト,amazarashi,1
#12 逃避行,amazarashi,1
喋っていい？(言語化開始)、音楽しかできることがない、,,1
数字を気にしてしまう、数字に左右されない自分でありたい,,1
好きなことだけで生活は難しい、音楽を辞めようと考えたこともある(思い直してる),,1
先輩登場、今幸せ、音楽で生活できるといいね (言語化終了),,1
#13 fire sign,BUMP OF CHICKEN,1
#14 embrace,BUMP OF CHICKEN,1
#15 オッドアイ,さユり,1
#16 ミカヅキ,さユり,1
#17 トレモロ,RADWIMPS,1
#18 セプテンバーさん,RADWIMPS,1
(あくび),,1
#19 秒針を噛む,ずっと真夜中でいいのに。,1
#20 僕から君へ,Galileo Galilei,1
#21 さよならはエモーション,サカナクション,1
#22 怪獣,サカナクション,1
#23 青のすみか,キタニタツヤ,1
#24 ロミオとシンデレラ,doriko,1
#25 千本桜,黒うさP,1
#26 ムーンライト伝説,DALI,1
#27 雨とカプチーノ,ヨルシカ,1
#28 夜行,ヨルシカ,1
#29 花人局,ヨルシカ,1
#30 オリオンをなぞる,UNISON SQUARE GARDEN,1
#31 シュガーソングとビターステップ,UNISON SQUARE GARDEN ( 49750人達成),1
49750人達成ありがとう⇒ 1人減ったので続行を宣言⇒すぐに再達成⇒次でラスト,,1
#32 水平線,back number,1
久々の長時間配信、明日の5万人耐久は21時からカラオケ配信、感想はエゴサする,,1
お疲れさまでした。「悲しくならないか」での咳払いが演出と気付いて凄いなって鳥肌立ちました (),,1
楽しくやっていこう、 ゲームとか朗読とか新しいことはしばらく保留、ショート動画録音は週1やりたい,,1
冒頭の雑談パートおわり(じゃない)、二胡、創作、音楽理論は修めてない、 ギターに目覚めて,,1
みなさんには眠ってもらう,,1
#1 Wherever you are,ONE OK ROCK,1
#2 からくりピエロ,40mP,1
#3 ハナミズキ,一青窈,1
#4 忘れられないの,サカナクション,1
#5 楓,スピッツ,1
#6 チェリー,スピッツ,1
